제목,평점,스토리작가,그림작가,업데이트 년도,형식,장르,이용가,요약,태그,조회순
자판귀,9.94,윤정민,윤정민,2022,에피소드,스릴러,전체연령가,"자판기에서 내가 원하는 것이 나온다!?데뷔를 꿈꾸는 연습생 박도영. 대표의 비리로 데뷔가 무산되자, 만취한 상태로 골목길을 헤매다 수상한 자판기를 보게 되는데...","최강자전,2017 최강자전,괴담,스릴러,완결스릴러",351
2016 루키 단편선,9.93,웹툰작가,웹툰작가,2017,옴니버스,드라마,전체연령가,"전설 이현세, 이두호 작가가 직접 프로듀싱한 신인 작가 단편선그 여섯번째 시즌!","드라마,완결무료,완결드라마",352
원 뿔러스 원,9.97,청보리,청보리,2017,스토리,판타지,15세 이용가,같은 장애를 가진 두 소년이 살아가는 세상. 그리고 특정 장애인만을 노리는 범죄자. 장애를 주제로 한 학원 스릴러.,"판타지,완결판타지",353
뱀피르,9.9,카인,12B,2016,스토리,판타지,12세 이용가,"뱀파이어에게 피를 제공하며 가축같이 살아가는 노예인 인간들. 
그 잔혹한 숙명과 뱀파이어의 감시 속에서 반란하려는 무리가 생겨난다. 
SBA-서울문화사-네이버가 함께하는 2015 만화 스카우트 당선작입니다.","판타지,완결무료,완결판타지",354
모태솔로수용소 시즌2~3,9.93,석재윤,석재윤,2018,스토리,드라마,15세 이용가,"연애를 하지 못하면 범죄자가 되는 세상,모태솔로들의 탈옥이 시작된다!","드라마,완결드라마",355
엽총소년,9.94,김칸비,홍필,2022,스토리,스릴러,15세 이용가,"약자에서 영웅이 될 수밖에 없었던 소년 '한규환', 그리고 그 소년을 영웅으로 만들어줄 엽총 한 자루가 눈앞에 있다.글로벌 누적 조회수 12억 뷰를 기록한 <스위트홈>의 프리퀄 대공개!","프리퀄,아포칼립스,스릴러,완결스릴러",356
존망코인,9.27,박태준만화회사,박태준만화회사,2022,스토리,스릴러,15세 이용가,"“코인 떡상으로 인생역전, 한번쯤은 상상해봤잖아?”인생을 포기하고 사채를 빌려 처음이자 마지막 사치를 즐기던 흙수저 ‘박의진’과 ‘고준형’그러나 죽음을 받아들이기 직전, 장난삼아 구매한 암호화폐 ‘존망코인’이 알 수 없는 이유로 폭등하기 시작하고 둘의 운명을 바꿔버리기 시작하는데..","유료화임박,머니게임,스릴러,완결무료,완결스릴러",357
와탕카,9.63,우주인,우주인,2006,에피소드,개그,12세 이용가,"와탕카='만세','지화자'
좋은 패가 들어오면 외치는 단어 와탕카! 우주인 작가님의 불타는 유머 센스에 우리 모두 와탕카!!","개그,완결무료,완결개그",358
언더클래스 히어로,9.95,김우준,김우준,2015,스토리,판타지,12세 이용가,"도시 한가운데서 일어난 정체불명의 대폭발.스승의 저주를 받아 천개의 선행을 하게 된 주인공 인(燐), 마을의 원수를 찾아 여행하는 검객 류진(劉進),그리고 정체불명의 약초상 아미(俄靡). 대폭발의 원인을 찾아 떠나는 그들의 여행!","히어로,판타지,완결판타지",359
바로잡는 순애보,9.94,이채영,이채영,2017,스토리,판타지,전체연령가,"사람이 되고 싶은 반달가슴곰 순애와 호랑이 비타, 
그리고 평범하지만 특별한 소년 바로의 좌충우돌 성장기
2013 대학만화 최강자전 최우수상 수상작!","최강자전,2013 최강자전,판타지,완결무료,완결판타지",360
독신으로 살겠다,9.67,선정성,선정성,2016,스토리,드라마,18세 이용가,말로만 듣던 35세 독신으로 살아지는가? 살아가는가?애들은 가라~ 언니들의 솔직담백한 이야기 <독신으로 살겠다>,,361
소년들은 무엇을 하고 있을까,9.42,컷부,컷부,2014,에피소드,개그,전체연령가,소년들 사이에서 벌어지는 다양한 이야기를 다룹니다.,"개그,완결개그",362
몽타주,9.91,단우,단우,2010,스토리,스릴러,18세 이용가,<미스터리 호러 지하철>의 단우가 스릴러로 돌아오다. 사람의 얼굴을 기억하지 못하는 전직 형사와 범인의 숨막히는 추격전!,,363
N의등대-busted,9.87,조석,조석,2009,스토리,스릴러,15세 이용가,"동일한 세계의 색다른 4가지 이야기. 함께 볼 수도, 따로 볼 수도 있는 멀티 플롯 프로젝트 만화 
조석 작가의 N의등대 busted 편.","스릴러,완결무료,완결스릴러",364
나는 귀머거리다,9.98,라일라,라일라,2017,에피소드,일상,전체연령가,대한민국에서 청각장애인이 살아가는 이야기,"일상,완결무료,완결일상",365
식스센스,9.23,릴레이연재,릴레이연재,2008,에피소드,개그,전체연령가,매주 새로운 주제의 6인 6색 만화를 즐기자! ,"개그,완결무료,완결개그",366
실질객관동화,9.9,무적핑크,무적핑크,2012,에피소드,개그,전체연령가,동화를 객관적인 시각에서 보면 어떻게 될까?생소한 시각으로 동화 다시 보기,"개그,완결개그",367
링크보이,9.79,광진,두엽,2020,스토리,판타지,12세 이용가,약육강식의 무법도시.잘못된 이 도시를 바로잡는다.,"판타지,완결판타지",368
레코닝,9.98,이혜,이혜,2016,스토리,판타지,12세 이용가,내가 살려면 또 다른 내가 죽어야 한다!,"판타지,완결판타지",369
새끼손가락,9.93,이익수,이익수,2009,스토리,드라마,12세 이용가,"용호는 출소후 홀어머니를 위해 새 출발을 다짐하지만..
자신으로 인해 누워만 있는 한 소녀의 존재를 알게 된다.","드라마,완결무료,완결드라마",370
어서오세요.305호에,9.96,와난,와난,2011,스토리,드라마,전체연령가,"평범하게 자라온 대한건아 김정현, 그리고 그의 룸메이트 김호모.
하나부터 열까지 정반대인 그들이 겪는 민감하고 민망한 이야기들.","감성드라마,드라마,완결드라마",371
아이돌 연구소,9.45,해마,연제원,2016,에피소드,개그,전체연령가,아이돌의 모든 것!지금부터 아이돌 연구소가 알려준다,"개그,완결개그",372
환생동물학교,9.98,엘렌심,엘렌심,2018,에피소드,감성,전체연령가,"동물들이 인간으로 환생하기 전, 동물의 습성을 버리고 인간 세계에서 잘 적응할 수 있는 교육을 받는 학교.그곳에는 주인을 걱정하고 그리워하는 사랑스러운 동물들로 가득하다.신입 선생님은 이제 이들을 가르쳐 주인을 잊고 인간이 될 수 있도록 해야 하는데….","동물,감성,완결감성",373
아이덴티티,9.97,시니,수훈,2016,스토리,드라마,12세 이용가,"잠에 들면 다른 사람이 되는 남자 헨리 모리스, 그리고 그 병을 치료하는 Dr.와이번.[죽음에 관하여] 스토리 시니 작가의 신작.","드라마,완결드라마",374
블랙수트,9.68,박세준,차용운,2017,스토리,드라마,12세 이용가,발을 들이지 말아야 할 곳에서만나야 할 한 사람을 만나다.,"드라마,완결드라마",375
열불 로맨스,9.96,홍치,홍치,2020,스토리,로맨스,전체연령가,죽기 싫으면 연애하라!화 많은 소녀 불화자의 살기 위한 필'수(水)' 로맨스.,"로맨스,완결로맨스",376
아는 여자애,9.97,허니비,허니비,2022,스토리,로맨스,전체연령가,"어느날 갑자기 고등학생으로 돌아온 하영. 다시 한 번 기회가 주어진다면 첫사랑을 이룰 수 있을까?내게는 운명, 그애에겐 아는 여자애","타임슬립,회귀,학원로맨스,삼각관계,로맨스,완결로맨스",377
2인용 인간,9.86,WONDER,WONDER,2020,에피소드,판타지,전체연령가,"두 사람에게 나눠 팔린 내 인생,낮과 밤 다른 인물로 살아가야 한다.","판타지,완결판타지",378
밥풀때기,9.8,Dylan,DanBra...,2016,에피소드,개그,전체연령가,"열정이 가득한 밥풀때기 아저씨의 다이내믹한 하루!
글로벌 라인 웹툰에서 연재되고 있는 대만의 <米粒大叔>를 한국어 버전으로 감상하세요.","개그,완결무료,완결개그",379
불량 뱀파이어,9.16,이유정,이유정,2011,스토리,판타지,12세 이용가,독특한 만화적 감수성과 색다른 그림 스타일을 지닌 이유정 작가의 신작뱀파이어지만 절대 사람을 물지 않는 주인공과 생을 꿈꾸며 물리고 싶어 하는 엽기 노인. 그들의 이야기가 펼쳐진다.,"판타지,완결판타지",380
택배 왔습니다,9.74,이한손,이한손,2022,스토리,스릴러,15세 이용가,"선호는 풍족하진 않지만 소소한 행복을 즐기며 살아가는 평범한 택배원이다.평소처럼 배달을 하던 그는 배달 장소에서 우연히 10년 전 고등학교 시절자신을 괴롭혔던 준구를 만나게 된다.자신을 못 알아보는 준구를 보며 선호는 안심했지만그의 집에서 살인의 흔적을 발견하게 되고,목격자라는 사실을 들킨다.준구에게 붙잡힌 선호는 다시 10년 전처럼 준구의 심부름을 하게 되는데...","서스펜스,스릴러,완결무료,완결스릴러",381
겨울동화,9.89,심윤수,심윤수,2010,에피소드,감성,전체연령가,"<일편단심화> 심윤수 작가의 겨울 이야기.
올 겨울을 따뜻하게 채워 줄 에피소드 12편.어른을 위한 동화가 시작됩니다.","감성,완결무료,완결감성",382
2019 루키 단편선,9.88,웹툰작가,웹툰작가,2019,에피소드,드라마,전체연령가,"전설 이현세, 이두호 작가가 직접 프로듀싱한지옥캠프 단편선 2019! 슈퍼 루키의 데뷔!","드라마,완결무료,완결드라마",383
싸귀2 : 퇴마록,9.69,임인스,임인스,2015,스토리,판타지,12세 이용가,영혼들과 대화하는 소년 소녀의 두번째 이야기!,"판타지,완결무료,완결판타지",384
나는 남 너는 녀,9.69,녹밤,녹밤,2019,스토리,개그,전체연령가,"눈을 떠보니 너와 나의 성별이 바뀌었다?! 지금까지와는 다른 삶을 살게 될 주인공들과, 지금까지의 삶에 너무 익숙해져 있던 주인공 친구들의 다사다난한 학교생활!","개그,완결개그",385
만렙돌파,9.47,"성불예정,홍실",미노,2022,스토리,판타지,15세 이용가,"알 수 없는 오류로 3000년간 각성 테스트에 갇힌 김기봉.그 사이 현실에선 10년이 흘렀고, 온 세상은 몬스터와 던전으로 가득차게 되었다. 만렙으로 귀환한 김기봉의 모든 것을 원래대로 돌려놓기 위한 싸움이 시작된다!","게임판타지,먼치킨,판타지",386
"OH, MY GOD!",9.94,강지영,현예지,2013,스토리,판타지,전체연령가,"신들의 회사 헤븐즈 컴퍼니, 성격도 외모도 제 각각인 'GOD'들.
그들의 갈등과 신의, 그리고 음모.
2012 대학만화 최강자전 수상작!","최강자전,판타지,완결무료,완결판타지",387
삼매경,9.03,이원식,꿀찬,2021,스토리,액션,15세 이용가,학력도 재력도 변변찮은 그에게 초능력이 생겼다. 하지만 남들만큼만 사는 게 꿈이었던 그가 더는 남들처럼은 살 수 없게 돼버리는데...,"액션,완결액션",388
나의 플랏메이트,9.94,산삼,산삼,2022,스토리,드라마,15세 이용가,해리포터 덕질만이 인생의 큰 기쁨인 피폐한 공시생 건이에게 찾아온 엄청난 행운!럭셔리 퍼스트클래스를 타고 떠난 런던에서 마음껏 덕질해보려고 했는데...그녀에게 찾아온 힘든 시련과 멋지고 잘생긴 룸메이트들?과연 건이는 시련극복과 런던생활을 잘할수 있을것인가!,"직진남,드라마,완결무료,완결드라마",389
AA,9.68,선정,지숙,2007,스토리,로맨스,전체연령가,"대머리 사절을 외치는 여인과 
대머리 일것 같은 그녀의 이상형이 벌이는 로맨틱 코미디 액션 드라마!","로맨스,완결무료,완결로맨스",390
대작,9.93,범우,범우,2017,스토리,스릴러,전체연령가,천재 신인작가와 그를 쫓는 이들의 숨막히는 이야기,"스릴러,완결스릴러",391
MZ-퓨어 이블,9.97,최훈,청설모,2018,스토리,액션,15세 이용가,순수한 악 이블과 정의의 요원 엠젯의 한 판 승부.거칠 것 없는 통괘한 액션 느와르!,"액션,완결액션",392
