제목,평점,스토리작가,그림작가,업데이트 년도,형식,장르,이용가,요약,태그,조회순
"안녕, 이바다씨",9.89,문나영,문나영,2022,스토리,로맨스,전체연령가,물이 무서운 여자와 물에 사는 남자의 청량미 넘치는 여름 로맨스!,"로맨스,완결로맨스",939
꼬리 있는 연애,9.93,진하,헤폰,2021,스토리,로맨스,전체연령가,"""나무꾼의 환생과 결혼하지 않으면 여우가 된다고?!!""운명의 상대를 찾기 위한 윤하의 고군분투 연애담이 시작된다.","로맨스,완결로맨스",940
천사가 아니야,9.96,박유나,표류,2020,스토리,드라마,전체연령가,열혈 신부와 비밀스러운 양호 교사의 피 튀기는 갱생 로맨스,"드라마,완결드라마",941
뱀파이어,9.95,오세형,오세형,2015,스토리,판타지,15세 이용가,'공존'''그들'은 처음부터 우리와 다른 꿈을 꾸고 있었다.'제어 할 수 없는 뱀파이어를 둘러싼 액션 드라마,"판타지,완결판타지",942
판타스틱 어른백서,9.03,이동욱,이동욱,2010,에피소드,개그,전체연령가,"본 컨텐츠는 생활의게임 홍보용 웹툰입니다. 필살컴퍼니에 입사한 두 명의 주인공, 김방자와 이향단!!! 그들의 좌충우돌 회사생활, 눈물 없이도 볼 수 있는 휴먼 드라마","개그,완결무료,완결개그",943
동네몬스터,9.89,이현민,이세형,2021,스토리,액션,15세 이용가,화려한 과거의 아저씨X정의의 고등학생두 명의 몬스터가 동네의 평화를 지킨다!,"액션,완결액션",944
연애는 전쟁!,9.88,윤솜,와리,2021,스토리,로맨스,12세 이용가,"""우리, 내기 하나 할까? 서태현한테 먼저 고백받는 쪽이 이기는 걸로.""용모 단정, 성적 우수, 교내에서도 유명한 남녀 쌍둥이 '시연'과 시언'완벽한 두 사람이 평범한 남고생 '태현'의 마음을 두고 내기를 시작하게 된 이유는?그리고 이들을 거부하는 '태현'의 숨겨진 비밀은…?!조금은 특별한 서스펜스 로맨스!","학원로맨스,삼각관계,로맨스",945
연옥님이 보고계셔,9.84,억수씨,억수씨,2010,스토리,드라마,12세 이용가,연옥님은언제 어디서나 어떻게든 보고 있습니다.,"드라마,완결드라마",946
소극적 인간,9.9,다쓴총,다쓴총,2022,스토리,스릴러,18세 이용가,"김돌벽은 자신이 저지른 살인 행위에 대해 쾌락과 동시에 죄책감을 느끼고 있다.자신을 통제하지 못하는 상황에 이르자 자수를 결심하게 되고 경찰서로 향한다.이 모든 상황에 대해 반성과 후회, 부정과 긍정을 반복하는 사이 세계에는 정체를 알 수 없는 전염병이 창궐하게 되고,이로 인해 김돌벽을 둘러싼 상황에도 변화가 시작되는데...",,947
버그: 스티그마,7.99,해마,송지형,2022,스토리,판타지,12세 이용가,"3차 세계대전이 일어났다!최강의 연금술사와 그로 인해 태어난 초능력자들의 액션 판타지!세상에 생긴 오류 이야기 시즌2, 버그:스티그마","판타지,완결무료,완결판타지",948
커피도둑,9.95,유지별이,유지별이,2021,스토리,판타지,전체연령가,"학교 뒷산에 있는 카페 <커피도둑> 그곳에 '시간을 사는 남자'가 있다는 소문이 퍼진다. 1년 전, 사고를 당한 '유나래'는 저승사자 '새우'와 함께 그곳으로 찾아가 다시 살아나기 위해 시간을 훔치려 하는데...","최강자전,2019 최강자전,판타지,완결판타지",949
안개무덤,9.95,김태영,김태영,2022,스토리,스릴러,15세 이용가,"실종된 가족을 수사하려고 하면 할수록, 알 수 없는 초자연 현상에 시달린다.사건 현장을 뒤덮는 벌레들. 그리고 부적. 이곳은 무덤이다.지상최대공모전 우수상 수상작! 숨막히는 공포 스릴러가 왔다!","2019 지상최대공모전,오컬트,서스펜스,스릴러,완결스릴러",950
깁스맨,9.85,맹물,맹물,2020,스토리,드라마,12세 이용가,정의를 위해 일진으로 살았다. 근데 정의가 뭔지는 알아?한 번의 잘못된 선택이 불러온 전혀 다른 결과... <연애학> 맹물 작가의 고등학생 이야기.,"드라마,완결드라마",951
스크립토리움,9.95,Song,Song,2020,옴니버스,판타지,12세 이용가,"신화, 전설, 그리고 우리들의 이야기<미쳐 날뛰는 생활툰> Song 작가 단편선.","판타지,완결무료,완결판타지",952
장난감,9.6,배사과,배사과,2022,스토리,드라마,15세 이용가,"매일같이 술에 절어 사는 주인공 '김상재'는 일용직 노동자로 자신의 꼬인 인생에 불만이 많다. 그리고 세상에 대한 분풀이를 자신의 아이를 학대하는 방식으로 풀어낸다. 그런 그가 우연한 사건으로 부잣집 아들 '박해오'라는 꼬마와 몸이 바뀌게 되고, 지금까지와는 정반대의 인생을 살아갈 꿈에 부푼다.  하지만 해오의 집에는 또 다른 비밀이 숨겨져 있다.","드라마,완결드라마",953
두근두근 연극부,8.82,김태경,김태경,2021,스토리,로맨스,12세 이용가,"<결계녀> 김태경 작가 신작. 전학생 김승민, 여자친구를 사귀기 위해 예쁜 애들이 많은 연극부로 직행한다. 그 연극부는 수많은 남학생들이 부원들의 미모에 속아서 들어왔다가 버티지 못하고 탈퇴해서 인원이 딱 1명 모자랐는데..! ""우리 연극부에 들어올래? 1년간 연극부에서 버티면 부원들 중 누군가가 여친이 되어줄게♡""","로맨스,완결로맨스",954
압락사스,9.73,247,247,2021,스토리,스릴러,18세 이용가,사이비 종교가 장악한 지역. 그곳에선 무자비한 살인마 황호인의 범죄와 함께 전염병까지 번져나간다.꼬일대로 꼬인 악의 연대기.,,955
나쁜 쪽으로,9.61,오은,이세릴,2022,스토리,드라마,12세 이용가,학급 회비를 훔친 오해를 받는 선에게 마리는 책임을 묻는 대신 기묘한 제안을 한다. 그것은 구원의 손길이었을까 지상최대공모전 장려상 수상작! <나쁜 쪽으로>,"2019 지상최대공모전,서스펜스,드라마,완결드라마",956
침범,9.82,공세리,영영이,2021,스토리,스릴러,18세 이용가,"6살이라고 생각하기 힘들만큼 잔혹성을 보이는 '소현', 왠지 모를 꺼림칙함이 느껴지는 고독사 청소업체 직원 '해영'.그녀를 만난 후, 내 삶이 무너지기 시작했다",,957
바람의 색,9.92,재아,임광묵,2013,스토리,로맨스,12세 이용가,홋카이도를 배경으로 펼쳐지는 두 남녀의 아름다운 사랑 이야기.곽재용 감독이 원안을 쓰고 <교무의원> 임광묵 작가가 그린 신작 웹툰 <바람의 색>.,"로맨스,완결로맨스",958
갓트,9.91,서패스,아거주누,2022,스토리,판타지,15세 이용가,"12계열의 갓트(GOD-Tribe)가 서로 싸우며 공존하는 세상.육식계에게 학대를 받으며 일하던 환식계 꼬마 랏데는포식자에 제물로 바쳐졌으나, 영웅 타세르에 의해 구원된다.타세르의 말에 따르면 랏데가 바로 포식자들에 맞서 세상을 구원할천년에 한번 태어나는 계시된 존재였고,이후 모든 '갓트'집단의 리더가 될 운명이었다.이제 타세르와의 수련 후, 세상을 뒤집는 복수가 시작된다.",판타지,959
나는 어디에나 있다,9.88,김선권,김선권,2022,스토리,스릴러,15세 이용가,수많은 사람들이 죽었던  여러 대형사고 현장에 동일 인물이 계속 발견된다. 그게... 기억에 없는 나라면? 그 영상을 보는 순간 평범했던 청년 류준의 일상은 완전히 뒤바뀐다. 과연 류준은 사라진 기억의 비밀을 풀고 평범한 일상을 되찾을 수 있을까...,"서스펜스,스릴러,완결무료,완결스릴러",960
필살VS로맨스,9.98,구르,구르,2021,스토리,개그,전체연령가,무협 만화 같은 여자 ‘유비’. 순정 만화 같은 남자 ‘신우’.자신의 장르대로 살아가던 두 사람의 순탄치 않은 썸타기!만화의 정석대로 해피엔딩을 이룰 수 있을까?!,"학원로맨스,개그,완결개그",961
루시퍼의 경호원,9.6,문설희,직선,2020,스토리,판타지,12세 이용가,루시퍼의 힘을 얻게 된 경호원과 힘을 뺏긴 루시퍼의 구슬 쟁탈전 !,"판타지,완결판타지",962
"그 개, 만두",9.98,호정,호정,2022,스토리,드라마,전체연령가,"'자네 만두는 개도 안 먹을 걸세!'산골 마을에 파리만 날리는 만둣가게 주인 공 씨.모두에게 외면받던 그를 위로해준 건 거리에서 만난 떠돌이 강아지였으니,귀엽고 비범한 강아지 만두와 다정한 공 씨가 들려주는 동화 같은 이야기!","2020 지상최대공모전,힐링,음식요리,동물,드라마,완결드라마",963
밤하늘에 구름운,9.96,견지,그리온,2021,스토리,로맨스,전체연령가,"망겜 <검풍 온라인>의 NPC 초낙운, 서윤의 평범했던 일상에 등장!?NPC와의 좌충우돌 로맨스지상최대공모전 1기 우수상 수상 작품","2019 지상최대공모전,로맨스,완결무료,완결로맨스",964
에리타,9.95,d몬,d몬,2020,스토리,드라마,12세 이용가,"<데이빗> d몬작가 '사람 3부작' 그 두 번째 이야기.마지막 남은 인류의 존재 그리고, 에리타.","드라마,완결드라마",965
썸내일,9.95,봉수,봉수,2021,스토리,드라마,12세 이용가,"연애 리얼리티 TV쇼 <썸내일>에 출연한 '이보배'와 '오한주'.두 사람의 러브라인은 연일 화제의 중심이었고, 프로그램 역시 절정의 인기를 끈 채 종영한다.그러나 보배에게는 사실 진짜 남자 친구가 따로 있었고, 그 사실이 SNS를 통해 퍼져 나간다.","사이다,두뇌싸움,구원서사,드라마,완결드라마",966
야만의 시대,9.8,신의철,장대현,2022,스토리,액션,15세 이용가,"SNS에서 나와 똑같이 생긴 사람을 발견했다! 과거도 미래도 없이 막 나가던 내 인생과 달리부잣집 모범생으로 모든 걸 가진 듯 보이는 그 녀석은 혹시, 보육원에서 자란 내가 존재조차 몰랐던 쌍둥이?!녀석을 찾아 시작부터 꼬여버린 인생의 실타래를 풀어보려는 찰나, 엄청난 트러블이 생기고 만다.문명 사회로 포장되어 있지만, 인간 윤리와 도덕의 마지노선을 넘은 야만의 시대에 던져진 청춘들의 이야기","블루스트링,액션,완결액션",967
꽃 피우는 남자,9.94,양하,양하,2022,스토리,로맨스,12세 이용가,전남친에 대한 미련을 버리지 못하고 있는 대학생 한소이는 복잡한 마음을 정리하고 학업에 집중하려 한다. 학교 수업에 쓰기 위해 동네 어르신을 통해 화분을 얻는 소이. 그런데 사실 그 화분은 어떤 남자의 영혼이 갇혀있는 저주받은 화분이었다.,"로맨스,완결로맨스",968
집사레인저,9.93,현실안주형,현실안주형,2021,스토리,액션,12세 이용가,거대 괴수 냥이?! 도시 하나 파괴하는건 일도 아닌 고양이들이 세상을 지배한다.2019 지상최대공모전 2기 대상 수상작!,"2019 지상최대공모전,액션,완결무료,완결액션",969
판타지스케치 - 더 게임,9.87,엄재경,천범식,2014,스토리,판타지,12세 이용가,"SF 퓨전 판타지, 게임 판타지, 중세 판타지스케치, 스케치, 스케치.. 판타지를 스케치해본다.","판타지,완결판타지",970
하슬라,9.9,까를로스,유상진,2021,스토리,액션,15세 이용가,일곱 번 타인의 삶을 구하면 한 번의 살인이 무죄가 되는 도시 하슬라.처절한 복수를 꿈꾸는 도진. '피의 도시' 하슬라에서 사마리안이 되다.,"복수극,느와르,액션,완결액션",971
이탄국의 자청비,9.8,한집,나넷,2022,스토리,로맨스,전체연령가,"시공 초월 판타지 로맨스! 태권 소녀 자청비, 물푸레 향이 가득한 이세계 황궁에 떨어지다! 아는 사람 하나 없는 낯선 나라. 왕싸가지 꽃미남 황태자, 생명의 은인인 비운의 왕자, 놀기 좋아하는 말괄량이 공주 사이에서, 자청비는 집으로 돌아갈 수 있을까?","로맨스,소설원작,완결로맨스",972
열쇠줍는아이,9.84,최윤진,최윤진,2011,스토리,판타지,15세 이용가,"어느날 그들의 운명을 바꿔버린 열쇠
그리고 찾아온 이별. 엇갈림. 오해. 그 진실을 찾기위한 두 소녀의 외로운 여행기","판타지,완결판타지",973
출격! 반보트,9.91,TGM,린다,2014,스토리,판타지,전체연령가,"거치형 로봇특공대 반보트! 
우리의 반보트는 괴수들의 공격을 막을 수 있을 것인가.","판타지,완결무료,완결판타지",974
레인보우 로즈,9.93,김예린,장유라,2013,옴니버스,판타지,전체연령가,간절히 원하면 이루어진다? <2012 서울만화스카우트> 당선작 '레인보우 로즈',"판타지,완결무료,완결판타지",975
아프니까 병원이다,9.89,고리타,고리타,2014,에피소드,일상,전체연령가,"환자의 입장에서 그리는 병원에서의 일상
가끔은 슬프고, 또 가끔은 가슴뭉클한 진짜 병원 생활기","일상,완결무료,완결일상",976
우주전함 몰라몰라,9.54,고리타,고리타,2013,스토리,개그,12세 이용가,"전인류의 개념을 건 거대한 모험이 시작된다!
200만 광년 우주를 넘어 당신의 전두엽을 강타할 초대형 SF 스페이스 블록버스터를 빙자한
본격 평범 보통 일상 생활 개그만화!","개그,완결무료,완결개그",977
슈퍼트리오,9.25,황미나,황미나,2009,스토리,개그,12세 이용가,"대한민국 명작 만화 초대선.살아 있는 전설 황미나 작가님의 명작 “슈퍼트리오”
웹툰 리메이크로 슈퍼 트리오를 다시 만나다.","개그,완결개그",978
밀웜,9.86,쿼시,쿼시,2020,스토리,드라마,12세 이용가,"먹이사슬 맨 밑바닥의 소년,먹이를 주다.","드라마,완결드라마",979
황제에게 하트를 심어주세요,9.7,"코코넛베리,율림니",6S,2022,스토리,로맨스,전체연령가,"새벽에 소설을 읽고 잠들었던 여주인공은 눈을 떠보니 소설의 남주인공, 황태자의 어머니인 황후 샬리오니의 몸속에 들어온 것을 알게 된다.그러나 샬리오니는 황제에게 끌려와 황태자를 낳고 황폐해진 정신을 이겨내지 못해 생을 마감한 비운의 인물! 소설과 같은 운명을 받아들일 수 없기에 여주인공은 자신의 운명을 바꾸고자 마음먹는다. 하지만 아니나 다를까 소설의 내용처럼 황제는 여주인공에게 반해버리고 마는데...애증의 관계로 시작된 두 사람 사이에서 사랑은 이뤄질 수 있을까?","로맨스,소설원작,완결로맨스",980
리즌,9.79,이익수,이익수,2015,스토리,스릴러,15세 이용가,믿는 자들과 믿지 않는 자들의생존을 위한 처절한 몸부림.,"스릴러,완결스릴러",981
언메이크,9.83,박화랑,박화랑,2021,스토리,판타지,15세 이용가,"멀지 않은 미래, 미세먼지 폭풍으로 인류는 맑은 공기를 잃었다.목에 이식하는 기생 필터의 개발로 위기를 극복했다고 생각했지만,기생 필터가 변이를 일으키며 세상은 다시 한번 위기에 빠지는데...","판타지,완결판타지",982
소나기야,9.95,와루,와루,2014,스토리,드라마,전체연령가,"시골마을 사람들과 함께 보내는
와루의 여름 이야기..","드라마,완결무료,완결드라마",983
오!너의 리스크,9.95,바리,바리,2022,스토리,드라마,15세 이용가,"국내 굴지의 대기업 재벌 3세 차 상무, 그 기업의 법무팀 사원 윤의민이 둘은 서로 잘 아는 사이이지만 둘의 관계가 알려지면 모두에게 위험하다.재벌 3세 차 상무로 인해 벌어지는 오너리스크 때문에","2020 지상최대공모전,드라마",984
도를 아십니까,9.91,이건,요엘,2021,스토리,판타지,12세 이용가,"전래동화가 이렇게 꼬인다고? 제대로 약빤(?) 동화가 시작된다!전우치의 장손, 전우진의 신입 도사 도전기","판타지,완결판타지",985
한국만화거장전,9.89,한국만화가협회,한국만화가협회,2014,옴니버스,일상,전체연령가,"한국만화의 전설을 만나다오늘날 한국만화를 있게 한 거장들이 들려주는 새로운 이야기,이제 웹툰으로 만나보세요!","일상,완결무료,완결일상",986
엽사:요괴사냥꾼,5.53,삼박,삼박,2022,스토리,액션,15세 이용가,"전쟁과 요괴가 들끓는 난세의 시대.부모에게 버림받고, 생계를 위해 약초꾼 일을 하며 살아온 소년 오석.어느 날 도적의 꾀임에 넘어가 요괴에게 자신의 몸을 뺏길 뻔한다.순간적인 기지와 요괴사냥꾼인 엽사의 도움으로 살아난 오석.하지만 그의 몸 속에는 아직 요괴가 숨어있는 상태!요괴를 꺼내줄 수 있는 사람을 찾아 마을을 떠나게 되는데..","2020 지상최대공모전,오컬트,액션,완결액션",987
일편단심화,9.8,심윤수,심윤수,2009,에피소드,감성,전체연령가,"하나의 짧은 이야기. 그림과 만나다.
골방환상곡 그림 작가 침묵의 일편단심화","감성,완결무료,완결감성",988
번데기스,7.97,김경호,김경호,2009,스토리,스포츠,전체연령가,"대한민국 명작 만화 리메이크 1 <번데기 야구단> 30년전 해체됐던 번데기 야구단이 리메이크로 뭉치다!
명작 리메이크 시리즈는 한국만화영상진흥원(구 부천만화정보센터)와 함께 합니다.","야구,스포츠,완결무료,완결스포츠",989
구주의 시간,9.95,송극장,송극장,2021,스토리,드라마,15세 이용가,"동생이 죽었다. 장례식이 끝난 뒤, 동생이 비밀 커뮤니티 어플을 통해 몰래 사람들을 만나고 다닌 기록을 발견한다. 어플 안의 모두가 용의자다.","서스펜스,드라마,완결드라마",990
여름은 뜨겁다,9.45,JQ,ZK,2021,스토리,드라마,전체연령가,"'어둠을 삼키는 흑룡’ 이라 불리는 동대정고 최강자  ‘신서용’.그의 앞에 둘도 없는 친구  ‘피를 뿌리는 적룡, 한대용＇의 여동생 ‘한여름’이 나타난다. 예측불허 여름과 얽히며 벌어지는 학원 코믹 성장물","드라마,완결드라마",991
홍천기,9.96,LICO,정은궐,2022,스토리,로맨스,15세 이용가,"백유화단의 천방지축 화공 홍천기(洪天起)는 동짓날 밤, 하늘에서 떨어진 남자를 줍게 된다.이 세상 사람이 아닌 듯 고운 외모의 남자를 보며 홍천기는 그가 자신의 운명의 사람이라 믿는다.어린 시절 알 수 없는 사고에 휘말려 맹인이 된 남자 하람.온통 붉은색밖에 보이지 않는 그는 홍천기를 만난 후 자신의 눈을 둘러싼 비밀을 알게 되는데…….","퓨전사극,로맨스,소설원작,완결무료,완결로맨스",992
화가 살리에르,9.95,백원달,백원달,2022,스토리,드라마,15세 이용가,"금선희는 자신에게 없는 예쁜 얼굴과 미술 재능, 오랫동안 짝사랑하던 남자 우수까지 모두 가진 류명화를 시기한다. 시간은 흘러 금선희는 유명 갤러리 관장, 류명화는 가난한 무명화가가 되고, 금선희는 명화를 떠난 우수와 닮은 남자를 이용해 류명화를 조종하려 하는데... 화가들의 삶에 얽히고설킨 매캐한 러브스토리.","2020 지상최대공모전,직업드라마,드라마,완결드라마",993
차차차,9.94,한나,한나,2015,옴니버스,드라마,전체연령가,"감성웹툰 <묵회> 한나 작가의 신작!

한가한 신생 찻집 '고운 다실'에서 일어나는 따뜻하고 소소한 이야기들","드라마,완결무료,완결드라마",994
고등단편.zip,9.82,웹툰작가,웹툰작가,2022,옴니버스,드라마,전체연령가,"고등학생 작가님들의 단편을 모았다!짧고 강렬하고 새로운, 어디에서도 볼 수 없었던10대들의 이야기를 만나보세요!","드라마,완결무료,완결드라마",995
열등의 조건,9.89,또이,또이,2020,스토리,드라마,12세 이용가,전교 2등만 해오던 정아.불안감에 시험지를 훔치게 된다.,"드라마,완결드라마",996
한국만화거장전 : 순정만화특집,9.86,한국만화가협회,한국만화가협회,2015,스토리,로맨스,전체연령가,"이번엔 순정만화다!
어릴 적 내 마음을 잔잔히 적셔준 거장들의 만화가 다시 시작됩니다.","로맨스,완결무료,완결로맨스",997
마계인섬,9.79,초,초,2022,스토리,판타지,12세 이용가,"<용이산다> 초 작가의 새로운 일상판타지! 10년 전, 대한민국 바다에 갑자기 나타난 ‘마왕의 성’.두려움의 대상이었던 그 곳은 ‘매직랜드’로 불리며 세계적인 테마파크가 된다.인간들의 우려와는 달리, 그곳을 운영하는 마왕 ‘퀴록’과 마족들은 평화로운 공존을 위해 노력하며 살아가고 있다.그러던 어느 날 그들의 평화로운 매직랜드에 변화가 찾아오는데…!","판타지,완결판타지",998
해시의 신루,9.96,명랑,INUS,2022,스토리,로맨스,15세 이용가,"미래를 예언하는 신비한 능력을 가졌으나, 운명을 거부하고 도망치는 해루. 어느 날 그녀 앞에 엉뚱한 선비가 나타났다! 천하제일 길치에 공갈을 일삼으며 싸움은 몸이 아니라 머리가 하는 거라 주장하는 해괴한 사내. 그러나 그를 만난 순간, 해루의 멈춰진 운명이 다시 돌기 시작한다. 15세기 조선, 실록이 기록하지 못한 조선 최고의 천재 군주와 운명의 사슬에 매인 신비한 여인의 달콤아슬한 사랑과 전쟁!","퓨전사극,로맨스,소설원작",999
악몽일기,9.84,육공,육공,2022,옴니버스,스릴러,15세 이용가,"섬뜩한 악몽을 기록해둔 옴니버스식 공포 스릴러!과연 이것은 악몽일까, 현실일까?평범했던 주인공들의 삶이 기이한 악몽으로 변해간다.","2020 지상최대공모전,괴담,스릴러,완결스릴러",1000
우리는 요정!,9.93,억수씨,억수씨,2021,옴니버스,감성,전체연령가,"당신의 추억이 깃든 모든 것에 우리, 요정이 있을지도 모릅니다.억수씨 작가가 그리는 뽀짝 코믹 갬성 옴니버스 18부작.","감성,완결감성",1001
안녕 나의 모모로,9.98,켄타,켄타,2021,스토리,감성,전체연령가,전쟁 후 홀로 남은 소년 로이.자신을 챙겨준 고양이 모모로의 죽음을 받아들이지 못하고 헤매는데...외톨이 소년 로이의 가슴 아프지만 따뜻한 이야기,"감성,완결감성",1002
별종,9.94,이무기,이무기,2021,스토리,드라마,15세 이용가,이방인이 지구에 방문했다.불행은 그 때부터 시작되었다.예측불허 전개의 SF 스릴러.,"2019 지상최대공모전,드라마,완결드라마",1003
감히,9.91,희나리,희나리,2021,스토리,스릴러,15세 이용가,진실을 향한 입과 귀를 틀어막고 짓누르는 그들. 이제 죽음에서 자유로워진 그녀의 복수가 시작된다.,"2019 지상최대공모전,스릴러,완결스릴러",1004
성스러운 아이돌,9.95,스튜디오M,악사,2022,스토리,드라마,전체연령가,"만인의 사랑을 받는 신의 대리자이자 성스러운 대신관인 렘브러리. 이세계를 침공한 마왕과 맞서 싸우다 정신을 차려보니, 대한민국 듣보 아이돌의 몸으로 깨어나 버렸다..! 그는 무사히 아이돌 생활에 적응하고 원래의 세계로 돌아갈수 있을까?","직업드라마,연예계,드라마,소설원작,완결드라마",1005
거래,9.36,우남20,우남20,2022,스토리,스릴러,15세 이용가,"고등학교 동창인 준성, 재효, 민우는 오랜만에 만나 술자리를 가진다.얼마 후, 술에 취해 영 정신을 못차리는 민우를 재효의 자취방에서 재우다가 민우의 핸드폰으로 걸려 온 한 통의 전화를 받게된다. 그 후, 얼떨결에 민우의 납치범 행세를 하게된 재효와 준성!그들은 과연 무사히 몸값을 받아낼 수 있을까?","2020 지상최대공모전,서스펜스,머니게임,스릴러,완결무료,완결스릴러",1006
한섬세대,9.86,유승진,유승진,2012,스토리,무협/사극,전체연령가,"조선후기의 평범한 관리지망생 한섬. 
만만치 않은 길이지만, 한섬이는 만만디. 과연 벼슬자리에 오를 수 있을까?","역사물,무협/사극,완결무료,완결무협/사극",1007
"열렬하게, 단하나",9.8,RAN,이른봄,2020,스토리,로맨스,전체연령가,"방출 위기에 처한 7년차 연습생 단하나,입덕을 부르는 톱스타 박도결의 멘티가 되어 열렬하고 은밀한 덕심 분출 로맨스를 시작한다!","로맨스,소설원작,완결로맨스",1008
더 나우,9.91,이니,이니,2022,스토리,스릴러,15세 이용가,"10년 전의 순진한 나를 만났다.""내가 다 고쳐줄게, 우리 인생""과거 사건으로 인한 트라우마로 결국 28살에 스스로 죽음을 택한 '권지금'그러나 정신차려보니 끔찍한 '그 일'이 발생하기 직전인 10년 전 과거로 돌아와있고,열 살 어린 자기자신과 마주하게 되는데...그녀는 행복해질 수 있을까?","스릴러,완결무료,완결스릴러",1009
아이고 아이고,9.93,하모,하모,2021,스토리,드라마,전체연령가,자유분방한 삶을 살던 가수 지망생.불의의 사고를 겪고 장례지도사가 되기를 결심한다.,"드라마,완결드라마",1010
불릿 6미리,9.89,김도근,김도근,2021,스토리,스포츠,전체연령가,"축구부 에이스, 좋아하는 선배에게 고백하려 했는데... 에어소프트 게임 마스터가 된다?!","최강자전,2017 최강자전,스포츠성장,스포츠,완결스포츠",1011
손 잡아 볼래?,9.93,예타쿠,예타쿠,2021,스토리,로맨스,전체연령가,"지난 생각을 하면 이불을 뻥뻥차게 만드는 똥차같은 전 연인들!만약, 연인과의 사랑의 결말을 알 수 있으면 똥차는 거르고손쉽게 운명같은 사람을 알 수 있지 않을까?그 궁금증, 해결해드립니다.","로맨스,완결로맨스",1012
리턴,9.85,송래현,송래현,2011,스토리,스포츠,전체연령가,"은반위에서 펼쳐지는 작은 소녀의 도전.  근성소녀 스포츠 만화.
차성진 작가 만화 <은반 위의 요정> 리메이크작.","스포츠,완결무료,완결스포츠",1013
길티액스,9.57,정샛별,정샛별,2021,스토리,판타지,12세 이용가,"“눈앞의 불의를 외면하는 순간, 반드시 불행한 사람이 생긴다.”정의로운 소년 단태는 친구를 구하다가 죽었다.그때 함께 나타난 “죄”라고 불리는 괴물.하지만 죽은 줄 알았던 단태에게 주어진 선택지.이대로 천국으로 갈 것인가,죄를 쳐죽이고 사람들을 구할 것인가?단태의 처절한 단죄 액션 판타지.",판타지,1014
환상의 용,9.93,꼬마비,꼬마비,2021,에피소드,드라마,전체연령가,어느 대학 만화전공 교수로 재직 중인 나에겐 어린 시절 잊을 수 없는 친구가 한 명 있다. 그의 이름은 바로 용이. 여러면에서 또래와 남달랐던 친구 용이를 기억하면 할수록 그의 존재가 신비롭게 느껴져나는 용이를 백방으로 찾아보지만 궁금증을 더할 경이로운 이야기만 추가로 전해져 올 뿐이다.,"드라마,완결드라마",1015
열무가 익어간다,9.93,박민경,박민경,2014,스토리,로맨스,12세 이용가,파릇파릇 철없는 청년 차열무의 인생 성장기<오란씨100> 박민경 작가의 신작.,"로맨스,완결로맨스",1016
사소한 냐냐,9.86,LICO,LICO,2020,에피소드,일상,전체연령가,움직이는 웹툰 숏애니! 4개월 이후 중성화 수술을 하게 되는 '냐냐'과연 사.소(사이코패스+소시오패스)한 고양이로 거듭나 땅콩을 사수할 수 있을까?!,"일상,완결무료,완결일상",1017
수상한 비밀상담부,9.92,149,149,2021,에피소드,스릴러,12세 이용가,"태희는 같은 반 해원이 자꾸만 자기를 쳐다보는 게 신경 쓰인다.쳐다보는 이유를 알기 위해 방과후 해원을 쫓아가는데…골목길에서 해원이 웬 남자애랑 지금 뭐 하는 거지?!충격과 혼란이 가득한 태희에게 해원이 건넨 말, ""야, 네 뒤에 귀신 붙었다.""귀신 찾는 놈, 김찬!귀신 잡는 놈, 최민우!귀신 같은 놈, 김해원!귀신 꼬이는 놈, 한태희!개성 강한 네 사람의 우당탕탕 오컬트 청춘 성장 드라마!!","스릴러,완결스릴러",1018
도무지 그애는,9.97,게코,게코,2022,스토리,드라마,12세 이용가,"생계를 위해 아르바이트 전선에 뛰어들었으나 계속 거절만 당한 무지는지푸라기라도 잡는 심정으로 오! 해피마트 시식 아르바이트를 시작한다.낯선 환경에 주눅이 들지만, 거칠었던 그 곳의 첫인상이 조금씩 바뀌어 가는데..세상을 배워가는 수많은 '그 애'들의 이야기",드라마,1019
식인귀,9.94,선택길,선택길,2022,스토리,스릴러,15세 이용가,주식 사기를 당해 전 재산을 날리고 취업 실패로 어렵게 살아가고 있던 최광식.공포 컨텐츠 방송으로 돈을 벌게 해준다는 친구의 권유로 함께 폐교로 향하게 되고그곳에서 이상한 물건을 만진 뒤로 그의 눈에 귀신들이 보이기 시작한다. 영혼을 먹는 식인귀들의 먹잇감이 된 최광식은 도망치다 우연히 퇴마사들의 도움을 받고목숨을 구하게 되지만 여전히 식인귀들은 그의 영혼을 노리고 있는 상황.최광식은 살아남기 위해서 어쩔 수 없이 퇴마사들을 따라가게 되고 불편한 동행을 시작하게 된다.,"오컬트,스릴러,완결무료,완결스릴러",1020
블랙홀과 3만원,9.94,김규삼,혜원,2022,스토리,개그,전체연령가,"지구멸망 한달 전, 블랙홀에 빨려들어가 얄짤없이 망하게 생긴 인류. 노스트라 생명에서 인류를 구원할 보험을 출시했다!블랙홀로 인한 모든 피해를 단돈 3만원에 ㅇㅋ?!노스트라의 마지막 히트상품과 함께 나타난 이놈들, 과연 구세주인가 바보들인가.","아포칼립스,병맛,머니게임,개그,완결개그",1021
스테어스,9.56,옹구,옹구,2021,스토리,판타지,12세 이용가,"세상의 끝에는 '월 스테어'가 있고, 그 끝에는 모든 것이 있을 것이다.한계를 넘어 세상의 끝에서 가장 강한 자로 태어나라!","판타지,완결판타지",1022
